File Name,F-Score,KL Divergence,Compute Time,Real Time
RealDrum01_00#MIX.xml,0,0.001,0.031,0
RealDrum01_01#MIX.xml,0.8571428571428571,0.001,90.11,17.682403628117914
RealDrum01_02#MIX.xml,0.8275862068965517,0.001,81.812,17.55421768707483
RealDrum01_03#MIX.xml,0.9883720930232558,0.001,71.734,17.55421768707483
RealDrum01_04#MIX.xml,0.9157894736842105,0.001,65.704,16.305804988662132
RealDrum01_05#MIX.xml,0.9099099099099099,0.001,82.203,16.857142857142858
RealDrum01_06#MIX.xml,0.9952153110047847,0.001,87.765,17.991065759637188
RealDrum01_07#MIX.xml,0.8712121212121211,0.001,91.094,18.5
RealDrum01_08#MIX.xml,0.9877551020408164,0.001,85.375,18.74331065759637
RealDrum01_09#MIX.xml,0.8037383177570093,0.001,83.547,16.566961451247167
RealDrum01_10#MIX.xml,0.7766990291262136,0.001,94.828,21.25
RealDrum01_11#MIX.xml,0.7297297297297298,0.001,87.859,19.566938775510206
RealDrum01_12#MIX.xml,0.8111888111888111,0.001,95.25,20.96873015873016
RealDrum01_13#MIX.xml,0,0.001,0.016,0
TechnoDrum01_00#MIX.xml,0.4685714285714286,0.001,229.297,19.125011337868482
TechnoDrum01_01#MIX.xml,0.6573426573426573,0.001,152.734,16.941179138321996
TechnoDrum01_02#MIX.xml,0.6250000000000001,0.001,166.234,18.00002267573696
TechnoDrum01_03#MIX.xml,0.6481481481481481,0.001,226.219,18.00002267573696
TechnoDrum01_04#MIX.xml,0.815450643776824,0.001,154.781,20.470589569160996
TechnoDrum01_05#MIX.xml,0.9503546099290779,0.001,146.25,16.421065759637187
TechnoDrum01_06#MIX.xml,0.747191011235955,0.001,154.187,17.42859410430839
TechnoDrum01_07#MIX.xml,0.5130890052356021,0.001,190.891,19.142879818594103
TechnoDrum01_08#MIX.xml,0.8910891089108911,0.001,170.141,16.571451247165534
TechnoDrum01_09#MIX.xml,0.4206008583690987,0.001,164.328,16.571451247165534
TechnoDrum02_00#MIX.xml,0.6551724137931034,0.001,67.094,7.618662131519274
WaveDrum01_00#MIX.xml,0.6829268292682926,0.001,143.765,21.375011337868482
WaveDrum01_01#MIX.xml,0.45569620253164556,0.001,87.313,16.941179138321996
WaveDrum01_02#MIX.xml,0.7606837606837606,0.001,84.578,18.352947845804987
WaveDrum01_03#MIX.xml,0.9181818181818183,0.001,89.781,17.294126984126983
WaveDrum01_04#MIX.xml,0.8300000000000002,0.001,100.938,17.647074829931974
