File Name,F-Score,KL Divergence,Compute Time
RealDrum01_05#MIX.xml,0.8947368421052632,0.001,36.594
RealDrum01_06#MIX.xml,1.0,0.001,36.156
RealDrum01_07#MIX.xml,0.8914728682170543,0.001,36.797
RealDrum01_08#MIX.xml,0.975609756097561,0.001,34.625
RealDrum01_09#MIX.xml,0.8173076923076922,0.001,31.359
RealDrum01_10#MIX.xml,0.75,0.001,41.625
RealDrum01_11#MIX.xml,0.7255813953488371,0.001,40.5
RealDrum01_12#MIX.xml,0.8789808917197452,0.001,43.516
RealDrum01_13#MIX.xml,0,0.001,0.063
TechnoDrum01_00#MIX.xml,0.44444444444444436,0.001,91.109
RealDrum01_05#MIX.xml,0.8938053097345133,0.002,21.062
RealDrum01_06#MIX.xml,1.0,0.002,23.157
RealDrum01_07#MIX.xml,0.9027237354085603,0.002,22.015
RealDrum01_08#MIX.xml,0.9836065573770492,0.002,23.313
RealDrum01_09#MIX.xml,0.801762114537445,0.002,20.969
RealDrum01_10#MIX.xml,0.8282828282828282,0.002,30.515
RealDrum01_11#MIX.xml,0.7373271889400922,0.002,25.11
RealDrum01_12#MIX.xml,0.8322981366459626,0.002,31.281
RealDrum01_13#MIX.xml,0,0.002,0.016
TechnoDrum01_00#MIX.xml,0.48587570621468923,0.002,46.797
RealDrum01_05#MIX.xml,0.9363636363636364,0.004,18.562
RealDrum01_06#MIX.xml,1.0,0.004,20.141
RealDrum01_07#MIX.xml,0.9027237354085603,0.004,20.031
RealDrum01_08#MIX.xml,0.991869918699187,0.004,17.313
RealDrum01_09#MIX.xml,0.88,0.004,14.484
RealDrum01_10#MIX.xml,0.7999999999999999,0.004,19.766
RealDrum01_11#MIX.xml,0.7239819004524887,0.004,18.609
RealDrum01_12#MIX.xml,0.8717948717948718,0.004,20.156
RealDrum01_13#MIX.xml,0,0.004,0.016
TechnoDrum01_00#MIX.xml,0.5128205128205129,0.004,22.109
RealDrum01_05#MIX.xml,0.908256880733945,0.008,10.469
RealDrum01_06#MIX.xml,0.9952153110047847,0.008,15.203
RealDrum01_07#MIX.xml,0.9133858267716535,0.008,13.61
RealDrum01_08#MIX.xml,0.9877551020408164,0.008,15.0
RealDrum01_09#MIX.xml,0.8571428571428571,0.008,12.61
RealDrum01_10#MIX.xml,0.823529411764706,0.008,11.187
RealDrum01_11#MIX.xml,0.7534883720930233,0.008,12.203
RealDrum01_12#MIX.xml,0.8535031847133758,0.008,3.641
RealDrum01_13#MIX.xml,0,0.008,0.0
TechnoDrum01_00#MIX.xml,0.5560975609756097,0.008,15.937
RealDrum01_05#MIX.xml,0.9230769230769229,0.01,9.219
RealDrum01_06#MIX.xml,0.9952153110047847,0.01,11.985
RealDrum01_07#MIX.xml,0.928,0.01,2.843
RealDrum01_08#MIX.xml,0.991869918699187,0.01,11.657
RealDrum01_09#MIX.xml,0.8868778280542987,0.01,10.515
RealDrum01_10#MIX.xml,0.858695652173913,0.01,9.063
RealDrum01_11#MIX.xml,0.7641509433962265,0.01,10.875
RealDrum01_12#MIX.xml,0.8670520231213873,0.01,3.531
RealDrum01_13#MIX.xml,0,0.01,0.016
TechnoDrum01_00#MIX.xml,0.5654450261780104,0.01,18.359
RealDrum01_05#MIX.xml,0.926605504587156,0.02,5.359
RealDrum01_06#MIX.xml,0.9545454545454545,0.02,2.5
RealDrum01_07#MIX.xml,0.9098039215686274,0.02,2.282
RealDrum01_08#MIX.xml,0.9834710743801653,0.02,3.0
RealDrum01_09#MIX.xml,0.9170305676855895,0.02,2.265
RealDrum01_10#MIX.xml,0.8210526315789475,0.02,2.735
RealDrum01_11#MIX.xml,0.7570093457943925,0.02,2.937
RealDrum01_12#MIX.xml,0.8928571428571429,0.02,3.125
RealDrum01_13#MIX.xml,0,0.02,0.0
TechnoDrum01_00#MIX.xml,0.6636363636363636,0.02,8.031
RealDrum01_05#MIX.xml,0.9468599033816425,0.04,3.547
RealDrum01_06#MIX.xml,0.9321266968325793,0.04,2.219
RealDrum01_07#MIX.xml,0.928,0.04,2.078
RealDrum01_08#MIX.xml,0.9666666666666667,0.04,2.453
RealDrum01_09#MIX.xml,0.9181818181818181,0.04,1.985
RealDrum01_10#MIX.xml,0.7938144329896906,0.04,2.625
RealDrum01_11#MIX.xml,0.7431192660550457,0.04,2.265
RealDrum01_12#MIX.xml,0.9047619047619048,0.04,2.5
RealDrum01_13#MIX.xml,0,0.04,0.016
TechnoDrum01_00#MIX.xml,0.8436363636363636,0.04,2.75
RealDrum01_05#MIX.xml,0.9519230769230769,0.08,1.547
RealDrum01_06#MIX.xml,0.9203539823008849,0.08,1.968
RealDrum01_07#MIX.xml,0.8854961832061068,0.08,1.891
RealDrum01_08#MIX.xml,0.979757085020243,0.08,2.281
RealDrum01_09#MIX.xml,0.9375,0.08,1.75
RealDrum01_10#MIX.xml,0.7614213197969543,0.08,2.094
RealDrum01_11#MIX.xml,0.7592592592592593,0.08,1.938
RealDrum01_12#MIX.xml,0.8700564971751412,0.08,2.156
RealDrum01_13#MIX.xml,0,0.08,0.0
TechnoDrum01_00#MIX.xml,0.8683274021352313,0.08,2.203
RealDrum01_05#MIX.xml,0.9514563106796117,0.1,1.531
RealDrum01_06#MIX.xml,0.9411764705882353,0.1,1.766
RealDrum01_07#MIX.xml,0.8821292775665399,0.1,1.687
RealDrum01_08#MIX.xml,0.9795918367346939,0.1,2.5
RealDrum01_09#MIX.xml,0.9074889867841409,0.1,1.86
RealDrum01_10#MIX.xml,0.7745098039215688,0.1,2.047
RealDrum01_11#MIX.xml,0.7288888888888889,0.1,1.984
