File Name,F-Scores,Compute Time,Real Time
RealDrum01_00#MIX.xml,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
RealDrum01_01#MIX.xml,"[0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7692307692307693, 0.7282051282051283, 0.553846153846154, 0.3076923076923077, 0.11282051282051282]",11.734,17.682403628117914
RealDrum01_02#MIX.xml,"[0.7841409691629956, 0.7841409691629956, 0.7841409691629956, 0.775330396475771, 0.775330396475771, 0.775330396475771, 0.775330396475771, 0.7665198237885462, 0.6872246696035242, 0.5286343612334802, 0.21145374449339208]",9.828,17.55421768707483
RealDrum01_03#MIX.xml,"[0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.7980295566502463, 0.6009852216748769, 0.39408866995073893, 0.2561576354679803]",9.109,17.55421768707483
RealDrum01_04#MIX.xml,"[0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9223300970873787, 0.8155339805825242, 0.5048543689320388, 0.23300970873786409]",8.391,16.305804988662132
RealDrum01_05#MIX.xml,"[0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.6448979591836734, 0.40816326530612246, 0.13877551020408163]",8.157,16.857142857142858
RealDrum01_06#MIX.xml,"[0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.8859649122807017, 0.6842105263157895, 0.39473684210526316, 0.1929824561403509]",10.89,17.991065759637188
RealDrum01_07#MIX.xml,"[0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.7969924812030076, 0.6616541353383458, 0.4511278195488722, 0.21804511278195488]",11.047,18.5
RealDrum01_08#MIX.xml,"[0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.8987854251012146, 0.5182186234817813, 0.1214574898785425, 0]",9.031,18.74331065759637
RealDrum01_09#MIX.xml,"[0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.6823529411764706, 0.4470588235294118, 0.2588235294117647, 0.17254901960784313]",10.156,16.566961451247167
RealDrum01_10#MIX.xml,"[0.7136150234741785, 0.7042253521126759, 0.7042253521126759, 0.6854460093896713, 0.6666666666666667, 0.6666666666666667, 0.6572769953051644, 0.647887323943662, 0.48826291079812206, 0.30985915492957744, 0.19718309859154928]",15.922,21.25
RealDrum01_11#MIX.xml,"[0.6359832635983264, 0.6359832635983264, 0.6276150627615062, 0.6192468619246863, 0.6192468619246863, 0.6192468619246863, 0.6192468619246863, 0.5941422594142259, 0.5104602510460252, 0.3347280334728034, 0.2594142259414226]",12.125,19.566938775510206
RealDrum01_12#MIX.xml,"[0.8108108108108107, 0.8108108108108107, 0.8, 0.8, 0.7891891891891892, 0.7891891891891892, 0.7783783783783783, 0.7243243243243244, 0.6162162162162163, 0.3567567567567567, 0.12972972972972974]",13.641,20.96873015873016
RealDrum01_13#MIX.xml,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
